Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 8).
Copying objective function to workers...
Done copying objective function to workers.
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|   46 |       8 | Accept |      6.1176 |     0.85348 |    0.015171 |      1.0816 |            4 |            1 |       tansig |      softmax |
|   47 |       8 | Best   |    0.015092 |       34188 |    0.015092 |      1.0353 |           11 |           39 |       tansig |      softmax |
|   48 |       8 | Accept |    0.025639 |      68.544 |    0.015092 |       1.026 |           21 |            6 |      radbasn |       netinv |
|   49 |       8 | Accept |      6.1173 |      1.0458 |    0.015092 |      1.0818 |           10 |            1 |       tansig |      softmax |
|   50 |       8 | Accept |    0.024117 |      558.67 |    0.015092 |        1.05 |           16 |            6 |    elliotsig |      softmax |
|   51 |       8 | Accept |       4.754 |      2.7382 |    0.015092 |      1.0501 |            3 |            2 |       compet |      softmax |
|   52 |       8 | Accept |      3.7988 |      7.1495 |    0.015092 |      1.0486 |           20 |            2 |       compet |      softmax |
|   53 |       8 | Accept |      3.8612 |      58.313 |    0.015092 |      1.0637 |           40 |            2 |       compet |      softmax |
|   54 |       8 | Accept |      0.3702 |      23.181 |    0.015092 |      1.0731 |            4 |            2 |       tansig |      radbasn |
|   55 |       8 | Accept |     0.37173 |      91.422 |    0.015092 |      1.0561 |           12 |            2 |       tansig |      radbasn |
|   56 |       8 | Accept |     0.36054 |      86.926 |    0.015092 |      1.0334 |            5 |            2 |       tansig |      radbasn |
|   57 |       8 | Accept |     0.37281 |      21.895 |    0.015092 |      1.0429 |            7 |            1 |       tansig |       tribas |
|   58 |       8 | Accept |     0.38423 |      78.389 |    0.015092 |      1.0318 |           17 |            1 |       tansig |       tribas |
|   59 |       8 | Accept |     0.36459 |      16.025 |    0.015092 |      1.0141 |            7 |            1 |       tansig |       tribas |
|   60 |       8 | Accept |    0.017985 |       22569 |    0.015092 |     0.99823 |           27 |           14 |    elliotsig |      softmax |
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|   61 |       8 | Accept |      6.5636 |      2.8654 |    0.015092 |     0.96637 |           14 |            1 |       logsig |      softmax |
|   62 |       8 | Accept |      1.0327 |      190.02 |    0.015092 |     0.96212 |           22 |            1 |       tansig |       tribas |
|   63 |       8 | Accept |       3.757 |       533.9 |    0.015092 |     0.96644 |           36 |            2 |       compet |       tribas |
|   64 |       8 | Accept |     0.45661 |      7.2053 |    0.015092 |       1.037 |            2 |            2 |       logsig |      softmax |
|   65 |       8 | Accept |      6.1264 |      3.6294 |    0.015092 |     0.97225 |           36 |            1 |       logsig |      softmax |
|   66 |       8 | Accept |     0.39187 |      462.89 |    0.015092 |      1.1143 |           33 |            2 |       logsig |      softmax |
|   67 |       8 | Accept |      5.8425 |      2.5281 |    0.015092 |      1.0969 |           23 |            1 |       logsig |      radbasn |
|   68 |       8 | Accept |      6.2922 |      4.7711 |    0.015092 |      1.0558 |           37 |            1 |       logsig |      radbasn |
|   69 |       8 | Accept |      6.4487 |      1.0889 |    0.015092 |      1.0779 |            3 |            1 |       logsig |      radbasn |
|   70 |       8 | Accept |      2.4037 |      426.69 |    0.015092 |      1.0873 |           28 |            1 |       logsig |       tribas |
|   71 |       8 | Accept |     0.03285 |      546.43 |    0.015092 |      1.0941 |           16 |            2 |       logsig |       radbas |
|   72 |       8 | Accept |     0.27406 |      10.593 |    0.015092 |      1.1013 |            2 |            5 |      radbasn |       radbas |
|   73 |       8 | Accept |    0.027341 |      89.781 |    0.015092 |      1.0854 |            7 |            5 |      radbasn |       radbas |
|   74 |       8 | Accept |    0.061466 |      21.425 |    0.015092 |      1.0915 |            9 |            5 |      softmax |       netinv |
|   75 |       8 | Accept |    0.026336 |      638.08 |    0.015092 |      1.0751 |           11 |            5 |      softmax |       netinv |
|   76 |       8 | Accept |     0.29651 |      36.887 |    0.015092 |      1.0594 |            2 |            5 |      radbasn |       radbas |
|   77 |       8 | Accept |    0.026613 |      183.57 |    0.015092 |      1.0653 |           10 |            5 |      radbasn |    elliotsig |
|   78 |       8 | Accept |    0.024533 |      998.22 |    0.015092 |      1.0709 |           25 |            5 |      softmax |       radbas |
|   79 |       8 | Accept |    0.025853 |      246.07 |    0.015092 |       1.076 |            8 |            5 |    elliotsig |      radbasn |
|   80 |       8 | Accept |      5.3437 |      6.8242 |    0.015092 |      1.0675 |            2 |            4 |       compet |       radbas |
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|   81 |       8 | Accept |       4.569 |      149.94 |    0.015092 |       1.075 |           28 |            4 |       compet |       radbas |
|   82 |       8 | Accept |    0.028712 |      48.892 |    0.015092 |      1.0799 |            6 |            4 |       tansig |       radbas |
